Name,Type,Address,City,State,Zip Code,Accepts Food Donations?,Website,Unique ID,Latitude,Longitude,Approximate distance,x,y
Abe Brown Ministries,Food Pantry,2921 North 27th Street,Tampa,FL,33605,,,,27.969282,-82.429504,0 km,-9176010.423,3245101.53
Manifestation Worldwide,Food Pantry,3102 East Lake Avenue,Tampa,FL,33610,No,centerformanifestation.com/contact,,27.978413,-82.425993,0 km,-9175619.513,3246252.398
Amazing Love Ministries,Food Pantry,3304 E. Columbus Drive,Tampa,FL,33605,Yes,amazinglovemin.org/ministry-hours/,,27.967002,-82.422574,0 km,-9175238.945,3244814.171
College Hill Mennonite Church,Food Pantry,3506 Machado Street,Tampa,FL,33605,Yes,www.chmctampa.org/community-outreach/,,27.975799,-82.432216,0 km,-9176312.277,3245922.965
New Beginning Food Pantry,Food Pantry,4100 South Manhattan Ave,Tampa,FL,33611,Yes,newbeginningscctampa.org/missions/,,27.664827,-81.515754,0 km,-9074292.171,3206781.537
NBCC'S Food Pantry,Food Pantry,4100 South Manhattan Avenue,Tampa,FL,33611,Yes,newbeginningscctampa.org/missions/,,27.904890,-82.517793,0 km,-9185838.676,3236987.878
Fred B. Sieber Pantry,Food Pantry,4703 North Florida Avenue,Tampa,FL,33603,Yes,myepic.org/food-pantry/,,27.988220,-82.459154,0 km,-9179311.001,3247488.632
New Life Assembly,Food Pantry,5010 12th Ave S,Tampa,FL,33619,No,www.facebook.com/newlifetampabay/?locale=nb_NO,,27.937714,-82.400988,0 km,-9172836.07,3241123.268
Hope Effect Food Pantry,Food Pantry,5102 West Linebaugh Avenue,Tampa,FL,33624,,mstarchurch.org/resources/food-pantry,,28.039889,-82.530796,0 km,-9187286.23,3254003.748
Icna Relief Usa - Tampa,Food Pantry,5628 56th Commerce Park Blvd,Tampa,FL,33610,,icnarelief.org/hunger_prevention/,,28.011418,-82.374069,0 km,-9169839.393,3250413.452
Kathedral Community Dev,Food Pantry,6304 North 30th Street,Tampa,FL,33610,,cathedraloffaith.com,,28.004288,-82.427241,0 km,-9175758.54,3249514.457
St. Mark Missionary Baptist Food Pantry,Food Pantry,7221 South Sherrill Street,Tampa,FL,33616,Unsure,,,27.861210,-82.531328,0 km,-9187345.385,3231486.826
Guided Path Foundation,Food Pantry,8307 North Armenia Avenue,Tampa,FL,33604,,,,28.024143,-82.483965,0 km,-9182072.982,3252017.973
Hillsborough County Family,Food Pantry,9391 North Florida Avenue,Tampa,FL,33612,Unsure,hcfpa.org/about/,,28.035498,-82.458986,0 km,-9179292.322,3253450.051
Shepherd Center,Food Pantry,304 South Pinellas Avenue,Tarpon Springs,FL,34689,Yes,tscenter.org/find-food/,,28.143525,-82.757159,0 km,-9212484.799,3267081.051
World Outreach International,Food Pantry,3333 Keystone Road,Tarpon Springs,FL,34688,,worldoutreach.us/,,28.145287,-82.681864,0 km,-9204102.954,3267303.485
